CH1,CH2,CH3,CH4,CH5,CH6,Frame Counter,Timestamp
4.569,0.000,0.000,0.000,0.000,0.000,52065,14:09:42
4.570,0.000,0.000,0.000,0.000,0.000,52066,14:09:42
4.572,0.000,0.000,0.000,0.000,0.000,52067,14:09:42
4.573,0.000,0.000,0.000,0.000,0.000,52068,14:09:42
4.575,0.000,0.000,0.000,0.000,0.000,52069,14:09:42
4.573,0.000,0.000,0.000,0.000,0.000,52070,14:09:42
4.573,0.000,0.000,0.000,0.000,0.000,52071,14:09:42
4.570,0.000,0.000,0.000,0.000,0.000,52072,14:09:42
4.570,0.000,0.000,0.000,0.000,0.000,52073,14:09:42
4.568,0.000,0.000,0.000,0.000,0.000,52074,14:09:42
4.567,0.000,0.000,0.000,0.000,0.000,52075,14:09:42
4.565,0.000,0.000,0.000,0.000,0.000,52076,14:09:42
4.565,0.000,0.000,0.000,0.000,0.000,52077,14:09:42
4.562,0.000,0.000,0.000,0.000,0.000,52078,14:09:42
4.562,0.000,0.000,0.000,0.000,0.000,52079,14:09:42
4.560,0.000,0.000,0.000,0.000,0.000,52080,14:09:42
4.560,0.000,0.000,0.000,0.000,0.000,52081,14:09:42
4.558,0.000,0.000,0.000,0.000,0.000,52082,14:09:42
4.558,0.000,0.000,0.000,0.000,0.000,52083,14:09:42
4.556,0.000,0.000,0.000,0.000,0.000,52084,14:09:42
4.556,0.000,0.000,0.000,0.000,0.000,52085,14:09:42
4.553,0.000,0.000,0.000,0.000,0.000,52086,14:09:42
4.553,0.000,0.000,0.000,0.000,0.000,52087,14:09:42
4.551,0.000,0.000,0.000,0.000,0.000,52088,14:09:42
4.550,0.000,0.000,0.000,0.000,0.000,52089,14:09:42
4.548,0.000,0.000,0.000,0.000,0.000,52090,14:09:42
4.547,0.000,0.000,0.000,0.000,0.000,52091,14:09:42
4.545,0.000,0.000,0.000,0.000,0.000,52092,14:09:42
4.545,0.000,0.000,0.000,0.000,0.000,52093,14:09:42
4.543,0.000,0.000,0.000,0.000,0.000,52094,14:09:42
4.543,0.000,0.000,0.000,0.000,0.000,52095,14:09:42
4.541,0.000,0.000,0.000,0.000,0.000,52096,14:09:42
4.541,0.000,0.000,0.000,0.000,0.000,52097,14:09:42
4.539,0.000,0.000,0.000,0.000,0.000,52098,14:09:42
4.540,0.000,0.000,0.000,0.000,0.000,52099,14:09:42
4.538,0.000,0.000,0.000,0.000,0.000,52100,14:09:42
4.538,0.000,0.000,0.000,0.000,0.000,52101,14:09:42
4.536,0.000,0.000,0.000,0.000,0.000,52102,14:09:42
4.536,0.000,0.000,0.000,0.000,0.000,52103,14:09:42
4.534,0.000,0.000,0.000,0.000,0.000,52104,14:09:42
4.534,0.000,0.000,0.000,0.000,0.000,52105,14:09:42
4.532,0.000,0.000,0.000,0.000,0.000,52106,14:09:42
4.532,0.000,0.000,0.000,0.000,0.000,52107,14:09:42
4.531,0.000,0.000,0.000,0.000,0.000,52108,14:09:42
4.532,0.000,0.000,0.000,0.000,0.000,52109,14:09:42
4.531,0.000,0.000,0.000,0.000,0.000,52110,14:09:42
4.532,0.000,0.000,0.000,0.000,0.000,52111,14:09:42
4.533,0.000,0.000,0.000,0.000,0.000,52112,14:09:42
4.535,0.000,0.000,0.000,0.000,0.000,52113,14:09:42
4.536,0.000,0.000,0.000,0.000,0.000,52114,14:09:42
4.538,0.000,0.000,0.000,0.000,0.000,52115,14:09:42
4.537,0.000,0.000,0.000,0.000,0.000,52116,14:09:42
4.538,0.000,0.000,0.000,0.000,0.000,52117,14:09:42
4.536,0.000,0.000,0.000,0.000,0.000,52118,14:09:42
